,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
142,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,8,29.870573346037418,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
143,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,9,29.72523568989709,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
144,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,1,21.38172273291275,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
145,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,2,21.868822507094592,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
146,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,3,22.799978826893494,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
147,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,4,22.082867895951495,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
148,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,5,21.38831114792265,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
149,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,6,21.237892654025927,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
150,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,7,21.68890880420804,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
151,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,8,21.476021052803844,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
152,WLStarLearner,random_PDFA_nominal_size_200_8_6,187,187,9,21.26225465396419,3135,6,393.0,8.0,,,0.0,0.0,1.0,0,0,0.0
153,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,1,23.596961875911802,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
154,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,2,23.537814436946064,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
155,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,3,23.157664706930518,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
156,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,4,23.671068663941696,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
157,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,5,23.282149381004274,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
158,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,6,23.887106499867514,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
159,WLStarLearner,random_PDFA_nominal_size_200_8_7,196,196,7,23.31491819699295,3672,7,409.0,9.0,,,0.0,0.0,1.0,0,0,0.0
