,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
98,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,9,1.901481894979952,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
99,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,1,1.9002467399986926,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
100,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,2,1.837563790002605,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
101,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,3,1.9227087969775312,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
102,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,4,1.8722137919976376,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
103,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,5,1.943386407016078,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
104,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,6,1.926328129018657,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
105,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,7,1.8278495560225565,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
106,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,8,1.8845164039812516,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
107,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,9,1.8323631240054965,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,3000,0.0003333333333333333
108,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,1,2.6765322670107707,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
109,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,2,2.6228922490263358,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
110,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,3,2.6429598740069196,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
111,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,4,2.629727821011329,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
112,WLStarLearner,PDFA - b467ac60c83149268f6e655b255f3890,102,102,5,2.628479562001303,1836,5,205.0,9.0,,,0.0,0.0,1.0,0,0,10,0.1
